frame	acquisition	preprocessing	tracking	integration	raycasting	rendering	computation	total    	X          	Y          	Z         	tracked   	integrated	startTS	endTS
63	0.054121	0.081283	0.254213	0.453949	0.009481	0.000000	0.798926	0.853047	-0.354523	-0.009912	0.026245	1        	1	18664.866005	18665.719053	
64	0.054824	0.087643	0.234505	0.466437	0.009499	0.000000	0.798084	0.852907	-0.367025	-0.008629	0.030813	1        	1	18665.719084	18666.571992	
65	0.054635	0.087726	0.232417	0.458718	0.009622	0.000000	0.788482	0.843117	-0.380906	-0.008835	0.034574	1        	1	18666.572027	18667.415144	
66	0.055274	0.079734	0.254190	0.459307	0.009672	0.000000	0.802903	0.858177	-0.391568	-0.007493	0.036555	1        	1	18667.415186	18668.273364	
67	0.055658	0.086189	0.327641	0.451920	0.009504	0.000000	0.875254	0.930912	-0.401889	-0.004911	0.038824	1        	1	18668.273398	18669.204310	
68	0.054692	0.087432	0.221316	0.467711	0.009471	0.000000	0.785931	0.840622	-0.412777	-0.005103	0.038116	1        	1	18669.204345	18670.044968	
69	0.055580	0.082823	0.223818	0.464701	0.009546	0.000000	0.780888	0.836468	-0.422114	-0.004932	0.042615	1        	1	18670.045018	18670.881486	
70	0.055029	0.085460	0.251804	0.475230	0.018120	0.000000	0.830614	0.885643	-0.431040	-0.003207	0.042269	1        	1	18670.881521	18671.767164	
71	0.057079	0.072862	0.208709	0.483213	0.009474	0.000000	0.774258	0.831337	-0.438555	-0.002708	0.039202	1        	1	18671.767199	18672.598537	
72	0.054980	0.078840	0.204554	0.457068	0.009675	0.000000	0.750136	0.805116	-0.454523	0.002655	0.042178	1        	1	18672.598571	18673.403687	
73	0.054755	0.078344	0.245587	0.463156	0.009512	0.000000	0.796598	0.851353	-0.464312	0.004030	0.043805	1        	1	18673.403722	18674.255075	
74	0.054646	0.078069	0.255439	0.457640	0.009721	0.000000	0.800869	0.855516	-0.466533	0.005880	0.040709	1        	1	18674.255106	18675.110621	
75	0.054601	0.078858	0.264912	0.457971	0.009830	0.000000	0.811572	0.866172	-0.468128	0.009622	0.037912	1        	1	18675.110657	18675.976829	
76	0.055057	0.069950	0.259826	0.460685	0.009457	0.000000	0.799917	0.854975	-0.465563	0.012875	0.029792	1        	1	18675.976866	18676.831841	
